iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
127,1267.786,1393.2452,1134.4198,39.2123,892.9618,440.8062,745.5941,6859719,-0.02113664150238037,-5.760847568511963,0.4230000078678131,0.4781000018119812,0.5029000043869019,-35.51409912109375
128,1342.0418,1394.715,576.0479,28.67,697.8058,538.0594,549.099,6915178,-0.10598160326480865,-5.654933929443359,0.421999990940094,0.4778999984264374,0.5029000043869019,-35.53900146484375
129,1341.096,1360.2347,1096.7458,63.8445,775.9127,503.5767,633.396,6979151,-0.0386015921831131,-5.491621017456055,0.42080000042915344,0.47760000824928284,0.5023999810218811,-35.576499938964844
130,1337.0962,1344.7173,1044.5761,14.2963,751.7887,517.1773,622.6733,7042041,-0.08514011651277542,-5.538487911224365,0.41940000653266907,0.4772999882698059,0.5034000277519226,-35.609901428222656
131,1323.7439,1378.2959,348.616,33.1801,645.4113,519.2722,504.9505,7093041,-0.03351275622844696,-5.706021785736084,0.41850000619888306,0.4771000146865845,0.5026999711990356,-35.62649917602539
132,1332.3135,1398.0118,506.8258,54.811,684.3021,515.5063,552.297,7148823,0.08036305755376816,-5.894880771636963,0.41760000586509705,0.47679999470710754,0.5023000240325928,-35.655799865722656
133,1307.8229,1405.5819,1140.8984,41.7101,785.5849,519.4054,629.3168,7212384,0.0555461049079895,-6.013611316680908,0.4169999957084656,0.47690001130104065,0.501800000667572,-35.64799880981445
134,1366.0061,1393.5615,1025.3925,14.04,703.0134,543.4705,569.2376,7269877,-0.05881975591182709,-6.177400588989258,0.4162999987602234,0.4765999913215637,0.5013999938964844,-35.68280029296875
135,1326.8035,1364.0002,535.7645,25.5301,690.4672,518.8678,542.5941,7324679,0.038391634821891785,-6.0976386070251465,0.41519999504089355,0.4763000011444092,0.5019999742507935,-35.71110153198242
136,1317.2399,1399.4503,1106.8172,39.1766,805.6919,508.9849,658.6337,7391201,-0.06475252658128738,-6.221164703369141,0.4142000079154968,0.47600001096725464,0.501800000667572,-35.74489974975586
137,1363.3097,1390.3643,242.9649,49.1274,603.4302,541.9942,469.0297,7438573,-0.11515236645936966,-6.219144821166992,0.4133000075817108,0.4758000075817108,0.5012000203132629,-35.763301849365234
